Time;P;PJ;V;E;D;GP;GC;Pts;Top Team Scorer;Q;
Barcelona  - ESP;1;29;23;4;2;53;9;73;Robert Lewandowski ;17;
Napoli  - ITA;1;30;24;3;3;66;21;75;Victor Osimhen ;21;
Paris S-G  - FRA;1;32;24;3;5;75;31;75;Kylian Mbappé ;22;
Arsenal  - ENG;1;32;23;6;3;77;34;75;Martinelli ;15;
Manchester City  - ENG;2;30;22;4;4;78;28;70;Erling Haaland ;32;
Real Madrid  - ESP;2;30;20;5;5;63;24;65;Karim Benzema ;14;
Dortmund  - GER;1;29;19;3;7;66;39;60;Julian Brandt ;8;
Atlético Madrid  - ESP;3;29;18;6;5;47;21;60;Antoine Griezmann ;11;
Lens  - FRA;2;32;19;9;4;54;25;66;Loïs Openda ;17;
Marseille  - FRA;3;31;19;7;5;57;30;64;Alexis Sánchez ;12;
Bayern Munich  - GER;2;29;17;8;4;79;33;59;Jamal Musiala ;11;
Lazio  - ITA;2;31;18;7;6;49;21;61;Ciro Immobile Mattia Zaccagni ;10;
Juventus  - ITA;3;30;18;5;7;47;25;59;Adrien Rabiot Dušan Vlahovic ;8;
Manchester Utd  - ENG;3;30;18;5;7;46;37;59;Marcus Rashford ;15;
Monaco  - FRA;4;32;18;7;7;66;46;61;Wissam Ben Yedder ;17;
Newcastle Utd  - ENG;4;30;15;11;4;48;24;56;Miguel Almirón ;11;
Roma  - ITA;4;30;17;5;8;42;26;56;Paulo Dybala ;11;
Union Berlin  - GER;3;28;15;7;6;43;31;52;Sheraldo Becker ;8;
RB Leipzig  - GER;4;28;15;6;7;53;35;51;Christopher Nkunku ;12;
Real Sociedad  - ESP;4;30;16;6;8;39;29;54;Alexander Sørloth ;10;
Freiburg  - GER;5;28;14;8;6;41;37;50;Vincenzo Grifo ;13;
Milan  - ITA;5;30;15;8;7;49;37;53;Rafael Leão ;10;
Lille  - FRA;5;32;16;8;8;57;40;56;Jonathan David ;21;
Rennes  - FRA;6;31;16;5;10;51;33;53;Amine Gouiri ;10;
Tottenham  - ENG;5;31;16;5;10;57;45;53;Harry Kane ;23;
Inter  - ITA;6;30;16;3;11;48;34;51;Lautaro Martínez ;14;
Brighton  - ENG;8;29;14;7;8;54;37;49;Alexis Mac Allister ;8;
Atalanta  - ITA;7;30;14;7;9;48;35;49;Ademola Lookman ;13;
Villarreal  - ESP;6;29;14;5;10;38;28;47;José Luis Morales ;7;
Liverpool  - ENG;7;31;14;8;9;59;38;50;Mohamed Salah ;16;
Lyon  - FRA;7;31;14;8;9;49;34;50;Alexandre Lacazette ;19;
Betis  - ESP;5;30;14;6;10;39;33;48;Borja Iglesias ;12;
Aston Villa  - ENG;6;32;15;6;11;45;41;51;Ollie Watkins ;14;
Leverkusen  - GER;7;28;13;5;10;51;41;44;Moussa Diaby ;9;
Mainz 05  - GER;6;29;12;9;8;49;40;45;Marcus Ingvartsen Karim Onisiwo ;9;
Athletic Club  - ESP;7;30;13;7;10;42;30;46;Iñaki Williams Oihan Sancet ;8;
Reims  - FRA;8;31;11;14;6;40;32;47;Folarin Balogun ;18;
Wolfsburg  - GER;8;29;11;10;8;51;37;43;Yannick Gerhardt ;6;
Nice  - FRA;9;31;11;12;8;38;29;45;Gaëtan Laborde ;8;
Eint Frankfurt  - GER;9;29;11;9;9;49;45;42;Randal Kolo Muani ;13;
Fulham  - ENG;9;31;13;6;12;44;42;45;Aleksandar Mitrovi?c;11;
Lorient  - FRA;10;31;12;9;10;43;43;45;Terem Moffi ;12;
Bologna  - ITA;8;31;12;8;11;40;39;44;Marko Arnautovic Riccardo Orsolini ;8;
Fiorentina  - ITA;9;30;11;9;10;35;33;42;Arthur ;7;
Clermont Foot  - FRA;11;31;12;7;12;33;42;43;Grejohn Kyei Muhammed Saracevic Cham ;6;
Brentford  - ENG;10;32;10;14;8;48;43;44;Ivan Toney ;19;
Osasuna  - ESP;8;30;11;8;11;28;32;41;Ezequiel Ávila ;7;
Torino  - ITA;10;31;11;9;11;32;36;42;Antonio Sanabria ;9;
Rayo Vallecano  - ESP;9;30;10;10;10;36;36;40;Isaac Palazón Camacho ;8;
Udinese  - ITA;12;30;9;12;9;39;39;39;Beto ;10;
M'Gladbach  - GER;10;28;9;9;10;43;45;36;Marcus Thuram ;13;
Sassuolo  - ITA;11;31;11;7;13;38;46;40;Armand Lauriente ;7;
Mallorca  - ESP;11;29;10;7;12;26;30;37;Vedat Muriqi ;12;
